Year,Month,revenue,units_sold,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other
2015,1,23.869789996652003,17096.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2015,2,24.666134102023896,14160.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2015,3,24.730365300818,11573.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2015,4,24.3348039290868,11949.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2015,5,23.410392644400602,10881.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2015,6,23.5766675,11168.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2015,7,75.2261702498144,19046.0,0,0,0,0.0,1.3,0,5.0,0,0.0
2015,8,59.8367617429422,17522.0,0,0,0,0.0,0.1,0,2.5,0,0.0
2015,9,67.0071321249405,16350.0,0,0,0,0.6,16.4,0,6.2,0,0.0
2015,10,459.180853591104,185750.0,0,0,0,3.4,24.4,0,31.9,0,0.0
2015,11,156.73963198100168,77239.0,0,0,0,0.2,19.6,0,5.2,0,0.0
2015,12,299.4509167212515,111541.0,0,0,0,1.1,22.5,0,11.2,0,0.0
2016,1,309.10613020844175,107919.0,0,0,0,0.9,22.9,0,4.2,0,27.1
2016,2,240.75413509701926,108156.0,0,0,0,0.6,19.9,0,4.9,0,0.0
2016,3,243.7995143868004,103804.0,0,0,0,0.4,18.4,0,5.2,0,15.9
2016,4,200.17070024018682,86496.0,0,0,0,0.0,16.5,0,4.2,0,0.0
2016,5,40.1297760316464,18708.0,0,0,0,0.8,23.7,0,6.9,0,5.0
2016,6,40.4274888515597,18439.0,0,0,0,0.0,8.0,0,3.7,0,0.0
2016,7,72.85715008816898,23072.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2016,8,61.320378010606795,22203.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2016,9,61.2547956139073,21831.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2016,10,37.7710495777134,17022.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2016,11,38.1273028003411,16111.0,0,0,0,0.0,0.0,0,0.0,0,0.0
2016,12,44.604542054656704,18146.0,0,0,0,0.0,0.0,0,0.0,0,0.0
