,ROI,level,media,sales,spend
0,0.0,2015_1,TV,0.0,0.0
1,0.0,2015_2,TV,0.0,0.0
2,0.0,2015_3,TV,0.0,0.0
3,0.0,2015_4,TV,0.0,0.0
4,0.0,2015_5,TV,0.0,0.0
5,0.0,2015_6,TV,0.0,0.0
6,-16.840068134916784,2015_7,TV,-3.368013626983357,0.2
7,-100.0,2015_8,TV,-0.8420034067458391,0.0
8,-12.512393189052725,2015_9,TV,-48.79833343730563,3.9
9,-13.964963586223298,2015_10,TV,-85.18627787596212,6.1
10,-16.764455225229927,2015_11,TV,-70.4107119459657,4.2
11,-14.526767669722567,2015_12,TV,-78.44454541650187,5.4
12,-16.078475395236573,2016_1,TV,-70.74529173904092,4.4
13,-18.26038433322848,2016_2,TV,-47.47699926639405,2.6
14,-12.381637479022485,2016_3,TV,-115.14922855490913,9.3
15,-17.28639079014884,2016_4,TV,-89.88923210877397,5.2
16,-25.15142514727602,2016_5,TV,-35.21199520618642,1.4
17,-16.44970656481145,2016_6,TV,-27.964501160179463,1.7
18,-100.0,2016_7,TV,-5.778177539699435,0.0
19,0.0,2016_8,TV,0.0,0.0
20,0.0,2016_9,TV,0.0,0.0
21,0.0,2016_10,TV,0.0,0.0
22,0.0,2016_11,TV,0.0,0.0
23,0.0,2016_12,TV,0.0,0.0
24,0.0,2015_1,Digital,0.0,0.0
25,0.0,2015_2,Digital,0.0,0.0
26,0.0,2015_3,Digital,0.0,0.0
27,0.0,2015_4,Digital,0.0,0.0
28,0.0,2015_5,Digital,0.0,0.0
29,0.0,2015_6,Digital,0.0,0.0
30,-77.57728437087277,2015_7,Digital,-193.94321092718192,2.5
31,-158.32897054021043,2015_8,Digital,-205.82766170227356,1.3
32,-129.88027544428718,2015_9,Digital,-181.83238562200205,1.4
33,-52.14953444510403,2015_10,Digital,-657.0841340083108,12.6
34,-292.7524337663683,2015_11,Digital,-380.57816389627885,1.3
35,-89.69347315542034,2015_12,Digital,-278.04976678180304,3.1
36,-318.97768125351365,2016_1,Digital,-159.48884062675683,0.5
37,-98.41423517793459,2016_2,Digital,-186.9870468380757,1.9
38,-114.40543459807938,2016_3,Digital,-240.2514126559667,2.1
39,-187.14381985770981,2016_4,Digital,-168.42943787193883,0.9
40,-160.00992083960108,2016_5,Digital,-128.00793667168088,0.8
41,-119.05707368055079,2016_6,Digital,-166.6799031527711,1.4
42,-100.0,2016_7,Digital,-55.38975129511657,0.0
43,0.0,2016_8,Digital,0.0,0.0
44,0.0,2016_9,Digital,0.0,0.0
45,0.0,2016_10,Digital,0.0,0.0
46,0.0,2016_11,Digital,0.0,0.0
47,0.0,2016_12,Digital,0.0,0.0
48,0.0,2015_1,Sponsorship,0.0,0.0
49,0.0,2015_2,Sponsorship,0.0,0.0
50,0.0,2015_3,Sponsorship,0.0,0.0
51,0.0,2015_4,Sponsorship,0.0,0.0
52,0.0,2015_5,Sponsorship,0.0,0.0
53,0.0,2015_6,Sponsorship,0.0,0.0
54,-0.8519970769917443,2015_7,Sponsorship,-6.304778369738909,7.4
