Year,Month,revenue(in Millions),units_sold,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,revenue/units_sold
2015,1,23.86979,17096,0,0,0,0,0,0,0,0,0,1396.220753
2015,2,24.6661341,14160,0,0,0,0,0,0,0,0,0,1741.958623
2015,3,24.7303653,11573,0,0,0,0,0,0,0,0,0,2136.901866
2015,4,24.33480393,11949,0,0,0,0,0,0,0,0,0,2036.555689
2015,5,23.41039264,10881,0,0,0,0,0,0,0,0,0,2151.492753
2015,6,23.5766675,11168,0,0,0,0,0,0,0,0,0,2111.091288
2015,7,75.22617025,19046,0.2,2.5,7.4,0,1.3,0.5,5,0,0,3949.709663
2015,8,59.83676174,17522,0,1.3,1.1,0,0.1,0.1,2.5,0,0,3414.950448
2015,9,67.00713212,16350,3.9,1.4,62.8,0.6,16.4,5,6.2,0,0,4098.295543
2015,10,459.1808536,185750,6.1,12.6,84.7,3.4,24.4,7,31.9,0,0,2472.036897
2015,11,156.739632,77239,4.2,1.3,14.2,0.2,19.6,6.6,5.2,0,0,2029.280959
2015,12,299.4509167,111541,5.4,3.1,56.7,1.1,22.5,6.8,11.2,0,0,2684.671257
2016,1,309.1061302,107919,4.4,0.5,4.2,0.9,22.9,7.4,4.2,2.7,27.1,2864.24198
2016,2,240.7541351,108156,2.6,1.9,11.7,0.6,19.9,6.5,4.9,0,0,2225.989636
2016,3,243.7995144,103804,9.3,2.1,41.6,0.4,18.4,6.2,5.2,0.9,15.9,2348.652406
2016,4,200.1707002,86496,5.2,0.9,24.3,0,16.5,5.7,4.2,0,0,2314.219157
2016,5,40.12977603,18708,1.4,0.8,31.7,0.8,23.7,6.8,6.9,1.1,5,2145.059655
2016,6,40.42748885,18439,1.7,1.4,25,0,8,2.8,3.7,0,0,2192.498989
2016,7,72.85715009,23072,0,0,0,0,0,0,0,0,0,3157.816838
2016,8,61.32037801,22203,0,0,0,0,0,0,0,0,0,2761.805973
2016,9,61.25479561,21831,0,0,0,0,0,0,0,0,0,2805.863021
2016,10,37.77104958,17022,0,0,0,0,0,0,0,0,0,2218.954857
2016,11,38.1273028,16111,0,0,0,0,0,0,0,0,0,2366.538564
2016,12,44.60454205,18146,0,0,0,0,0,0,0,0,0,2458.092255
